ticker,nome_pregao,cod_cvm,segmento
CBTC39,21SH BITCOIN,050110,Não Classificados
AADA39,21SH CARDANO,050104,Não Classificados
BASK39,21SH BASKET,050101,Não Classificados
AETH39,21SH ETHEREU,050102,Não Classificados
SOLN39,21SH SOLANA,050103,Não Classificados
AXRP39,21SH XRP ETP,050107,Não Classificados
QVQP3,524 PARTICIP,016284,Outros
ABGD39,ABDEN GOLD,050335,Não Classificados
G1TR39,ABRDN PMETAL,050062,Não Classificados
SIVR39,ABDEN SILV,050327,Não Classificados
AERI3,AERIS,025283,Máq. e Equip. Industriais
AFLT3,AFLUENTE T,022179,Energia Elétrica
AGXY3,AGROGALAXY,025658,Agricultura
RPAD3,ALFA HOLDING,009954,Bancos
RPAD5,ALFA HOLDING,009954,Bancos
RPAD6,ALFA HOLDING,009954,Bancos
APTI3,ALIPERTI,012823,Agricultura
APTI4,ALIPERTI,012823,Agricultura
AALR3,ALLIAR,024058,Serv.Méd.Hospit..Análises e Diagnósticos
ALLD3,ALLIED,025330,Eletrodomésticos
ALOS3,ALLOS,022357,Exploração de Imóveis
ALPK3,ESTAPAR,024953,Serviços Diversos
ALPA3,ALPARGATAS,010456,Calçados
ALPA4,ALPARGATAS,010456,Calçados
AVLL3,ALPHAVILLE,025275,Incorporações
AVLL11,ALPHAVILLE,025275,Incorporações
AVLL12,ALPHAVILLE,025275,Incorporações
ALUP3,ALUPAR,021490,Energia Elétrica
ALUP4,ALUPAR,021490,Energia Elétrica
ALUP11,ALUPAR,021490,Energia Elétrica
ABEV3,AMBEV S/A,023264,Cervejas e Refrigerantes
AMBP3,AMBIPAR,024961,Água e Saneamento
AMER3,AMERICANAS,020990,Produtos Diversos
AMER11,AMERICANAS,020990,Produtos Diversos
CBEE3,AMPLA ENERG,003050,Energia Elétrica
ANIM3,ANIMA,023248,Serviços Educacionais
ARND3,ARANDU,025887,Holdings Diversificadas
ARML3,ARMAC,026069,Serviços Diversos
ATED3,ATOM EDUC,027677,Serviços Educacionais
AURA33,AURA 360,080187,Minerais Metálicos
AURE3,AUREN,026620,Energia Elétrica
