ticker,nome_pregao,cod_cvm,segmento,cnpj,nome_cvm,setor,sit,nome,tipo
CBTC39,21SH BITCOIN,050110,Não Classificados,,,,,21SH BITCOIN,acao
AADA39,21SH CARDANO,050104,Não Classificados,,,,,21SH CARDANO,acao
BASK39,21SH BASKET,050101,Não Classificados,,,,,21SH BASKET,acao
AETH39,21SH ETHEREU,050102,Não Classificados,,,,,21SH ETHEREU,acao
SOLN39,21SH SOLANA,050103,Não Classificados,,,,,21SH SOLANA,acao
AXRP39,21SH XRP ETP,050107,Não Classificados,,,,,21SH XRP ETP,acao
QVQP3,524 PARTICIP,016284,Outros,01.851.771/0001-55,524 PARTICIPAÇOES SA,Adm. Part. - Sem Setor Principal,ATIVO,524 PARTICIPAÇOES SA,acao
ABGD39,ABDEN GOLD,050335,Não Classificados,,,,,ABDEN GOLD,acao
G1TR39,ABRDN PMETAL,050062,Não Classificados,,,,,ABRDN PMETAL,acao
SIVR39,ABDEN SILV,050327,Não Classificados,,,,,ABDEN SILV,acao
AERI3,AERIS,025283,Máq. e Equip. Industriais,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,"Máquinas, Equipamentos, Veículos e Peças",ATIVO,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,acao
AFLT3,AFLUENTE T,022179,Energia Elétrica,10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,Energia Elétrica,ATIVO,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,acao
AGXY3,AGROGALAXY,025658,Agricultura,21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,Comércio (Atacado e Varejo),ATIVO,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,acao
RPAD3,ALFA HOLDING,009954,Bancos,17.167.396/0001-69,ALFA HOLDINGS S.A.,Adm. Part. - Intermediação Financeira,ATIVO,ALFA HOLDINGS S.A.,acao
RPAD5,ALFA HOLDING,009954,Bancos,17.167.396/0001-69,ALFA HOLDINGS S.A.,Adm. Part. - Intermediação Financeira,ATIVO,ALFA HOLDINGS S.A.,acao
RPAD6,ALFA HOLDING,009954,Bancos,17.167.396/0001-69,ALFA HOLDINGS S.A.,Adm. Part. - Intermediação Financeira,ATIVO,ALFA HOLDINGS S.A.,acao
APTI3,ALIPERTI,012823,Agricultura,61.156.931/0001-78,ALIPERTI S.A.,"Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",ATIVO,ALIPERTI S.A.,acao
APTI4,ALIPERTI,012823,Agricultura,61.156.931/0001-78,ALIPERTI S.A.,"Adm. Part. - Agricultura (Açúcar, Álcool e Cana)",ATIVO,ALIPERTI S.A.,acao
AALR3,ALLIAR,024058,Serv.Méd.Hospit..Análises e Diagnósticos,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,Serviços Médicos,ATIVO,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,acao
ALLD3,ALLIED,025330,Eletrodomésticos,20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,Comércio (Atacado e Varejo),ATIVO,ALLIED TECNOLOGIA S.A.,acao
ALOS3,ALLOS,022357,Exploração de Imóveis,05.878.397/0001-32,ALLOS S.A.,Adm. Part. - Comércio (Atacado e Varejo),ATIVO,ALLOS S.A.,acao
ALPK3,ESTAPAR,024953,Serviços Diversos,60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",Serviços Transporte e Logística,ATIVO,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",acao
ALPA3,ALPARGATAS,010456,Calçados,61.079.117/0001-05,ALPARGATAS SA,Têxtil e Vestuário,ATIVO,ALPARGATAS SA,acao
ALPA4,ALPARGATAS,010456,Calçados,61.079.117/0001-05,ALPARGATAS SA,Têxtil e Vestuário,ATIVO,ALPARGATAS SA,acao
AVLL3,ALPHAVILLE,025275,Incorporações,16.811.931/0001-00,ALPHAVILLE S.A.,Constr. e Decoração,ATIVO,ALPHAVILLE S.A.,acao
AVLL11,ALPHAVILLE,025275,Incorporações,16.811.931/0001-00,ALPHAVILLE S.A.,Constr. e Decoração,ATIVO,ALPHAVILLE S.A.,fii
AVLL12,ALPHAVILLE,025275,Incorporações,16.811.931/0001-00,ALPHAVILLE S.A.,Constr. e Decoração,ATIVO,ALPHAVILLE S.A.,acao
ALUP3,ALUPAR,021490,Energia Elétrica,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,Adm. Part. - Energia Elétrica,ATIVO,ALUPAR INVESTIMENTO S/A,acao
ALUP4,ALUPAR,021490,Energia Elétrica,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,Adm. Part. - Energia Elétrica,ATIVO,ALUPAR INVESTIMENTO S/A,acao
ALUP11,ALUPAR,021490,Energia Elétrica,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,Adm. Part. - Energia Elétrica,ATIVO,ALUPAR INVESTIMENTO S/A,fii
ABEV3,AMBEV S/A,023264,Cervejas e Refrigerantes,07.526.557/0001-00,AMBEV S.A.,Bebidas e Fumo,ATIVO,AMBEV S.A.,acao
AMBP3,AMBIPAR,024961,Água e Saneamento,12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,Água e Gás,ATIVO,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,acao
AMER3,AMERICANAS,020990,Produtos Diversos,00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,Comércio (Atacado e Varejo),ATIVO,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,acao
AMER11,AMERICANAS,020990,Produtos Diversos,00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,Comércio (Atacado e Varejo),ATIVO,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,fii
CBEE3,AMPLA ENERG,003050,Energia Elétrica,33.050.071/0001-58,AMPLA ENERGIA E SERVIÇOS S.A.,Energia Elétrica,ATIVO,AMPLA ENERGIA E SERVIÇOS S.A.,acao
ANIM3,ANIMA,023248,Serviços Educacionais,09.288.252/0001-32,ANIMA HOLDING S/A,Educação,ATIVO,ANIMA HOLDING S/A,acao
ARND3,ARANDU,025887,Holdings Diversificadas,14.127.813/0001-51,ARANDU INVESTIMENTOS S.A.,Adm. Part. - Intermediação Financeira,ATIVO,ARANDU INVESTIMENTOS S.A.,acao
ARML3,ARMAC,026069,Serviços Diversos,00.242.184/0001-04,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Serviços Transporte e Logística,ATIVO,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",acao
